ID,strain,replicate,technical_replicate,Drug,time,RAD80,RAD50,RAD20,FoG80,FoG50,FoG20,slope,Person
y106_0_48_1,y106,1,,,0,10,11,12,0.05,0.08,0.13,175.5,Q
y106_0_48_10,y106,10,,,0,10,11,12,0.08,0.07,0.1,241.2,Q
y106_0_48_11,y106,11,,,0,10,10,11,0.1,0.09,0.11,221.6,Q
y106_0_48_12,y106,12,,,0,9,10,11,0.14,0.11,0.12,245.3,Q
y106_0_48_2,y106,2,,,0,10,11,11,0.1,0.11,0.1,203.2,Q
y106_0_48_3,y106,3,,,0,9,10,11,0.14,0.12,0.15,266.8,Q
y106_0_48_4,y106,4,,,0,10,11,12,0.06,0.08,0.12,232.4,Q
y106_0_48_7,y106,7,,,0,10,11,12,0.06,0.06,0.09,234.9,Q
y106_0_48_8,y106,8,,,0,11,12,13,0.06,0.08,0.12,244.5,Q
y106_0_48_9,y106,9,,,0,12,12,13,0.07,0.06,0.09,234.6,Q
y106_5_48_12_1_A,y106,1,A,0.12,5,1,13,15,,0.59,0.39,159.7,Q
y106_5_48_12_1_B,y106,1,B,0.12,5,4,13,15,0.66,0.51,0.34,136.8,Q
y106_5_48_12_10_A,y106,10,A,0.12,5,1,1,1,,,,0,Q
y106_5_48_12_10_B,y106,10,B,0.12,5,1,1,1,,,,0,Q
y106_5_48_12_11_A,y106,11,A,0.12,5,8,13,15,0.18,0.28,0.26,93.9,Q
y106_5_48_12_11_B,y106,11,B,0.12,5,10,12,14,0.41,0.26,0.22,144.6,Q
y106_5_48_12_12_A,y106,12,A,0.12,5,1,12,13,,0.58,0.43,80,Q
y106_5_48_12_12_B,y106,12,B,0.12,5,1,12,14,,0.57,0.45,30.6,Q
y106_5_48_12_2_A,y106,2,A,0.12,5,6,13,14,0.34,0.38,0.29,96.2,Q
y106_5_48_12_2_B,y106,2,B,0.12,5,10,14,15,0.32,0.23,0.23,104.3,Q
y106_5_48_12_3_A,y106,3,A,0.12,5,1,1,1,,,,1,Q
y106_5_48_12_4_A,y106,4,A,0.12,5,0,13,16,,0.76,0.53,42.6,Q
y106_5_48_12_4_B,y106,4,B,0.12,5,5,15,17,0.66,0.43,0.35,82.7,Q
y106_5_48_12_5_A,y106,5,A,0.12,5,5,12,14,0.32,0.45,0.36,64.3,Q
y106_5_48_12_5_B,y106,5,B,0.12,5,8,12,13,0.23,0.25,0.2,116.8,Q
y106_5_48_12_6_A,y106,6,A,0.12,5,0,7,17,,0.89,0.69,20.6,Q
y106_5_48_12_6_B,y106,6,B,0.12,5,0,12,16,,0.81,0.58,32.4,Q
y106_5_48_12_7_A,y106,7,A,0.12,5,7,16,23,0.8,0.5,0.46,43.3,Q
y106_5_48_12_7_B,y106,7,B,0.12,5,1,14,16,,0.77,0.61,15.8,Q
y106_5_48_12_8_A,y106,8,A,0.12,5,9,14,16,0.44,0.35,0.25,136.3,Q
y106_5_48_12_8_B,y106,8,B,0.12,5,13,15,16,0.46,0.22,0.2,141.4,Q
y106_5_48_12_9_A,y106,9,A,0.12,5,10,14,16,0.45,0.33,0.24,125.4,Q
y106_5_48_12_9_B,y106,9,B,0.12,5,12,15,17,0.67,0.32,0.26,119.3,Q
y106_5_48_48_1_A,y106,1,A,0.5,5,12,13,14,0.39,0.22,0.21,184.4,Q
y106_5_48_48_1_B,y106,1,B,0.5,5,12,13,14,0.27,0.14,0.13,247.8,Q
y106_5_48_48_10_A,y106,10,A,0.5,5,12,14,22,0.05,0.11,0.34,129.5,Q
y106_5_48_48_10_B,y106,10,B,0.5,5,6,13,14,0.34,0.31,0.28,111.2,Q
y106_5_48_48_11_A,y106,11,A,0.5,5,13,13,14,0.06,0.06,0.09,269.4,Q
y106_5_48_48_11_B,y106,11,B,0.5,5,12,14,14,0.05,0.09,0.08,255.5,Q
y106_5_48_48_12_A,y106,12,A,0.5,5,12,14,14,0.26,0.17,0.17,7.4,Q
y106_5_48_48_12_B,y106,12,B,0.5,5,14,16,16,0.37,0.23,0.23,5.4,Q
y106_5_48_48_2_A,y106,2,A,0.5,5,4,12,13,0.47,0.51,0.39,77,Q
y106_5_48_48_2_B,y106,2,B,0.5,5,8,13,14,0.23,0.29,0.23,135.8,Q
y106_5_48_48_3_A,y106,3,A,0.5,5,12,16,19,0.57,0.31,0.32,85.4,Q
y106_5_48_48_3_B,y106,3,B,0.5,5,11,16,19,0.63,0.34,0.34,66.9,Q
y106_5_48_48_4_A,y106,4,A,0.5,5,7,13,15,0.21,0.34,0.28,94.7,Q
y106_5_48_48_4_B,y106,4,B,0.5,5,6,14,15,0.36,0.33,0.28,96.9,Q
y106_5_48_48_5_A,y106,5,A,0.5,5,1,1,1,,,,3.8,Q
y106_5_48_48_5_B,y106,5,B,0.5,5,1,1,1,,,,0.2,Q
y106_5_48_48_6_B,y106,6,B,0.5,5,2,13,13,1,0.51,0.48,24.7,Q
y106_5_48_48_7_A,y106,7,A,0.5,5,13,14,15,0.06,0.08,0.11,247.7,Q
y106_5_48_48_7_B,y106,7,B,0.5,5,13,14,15,0.05,0.07,0.1,208.5,Q
y106_5_48_48_8_A,y106,8,A,0.5,5,5,15,18,0.7,0.46,0.36,46.5,Q
y106_5_48_48_8_B,y106,8,B,0.5,5,12,17,18,0.6,0.35,0.33,39.8,Q
y106_5_48_48_9_A,y106,9,A,0.5,5,13,14,15,0.06,0.07,0.11,246,Q
y106_5_48_48_9_B,y106,9,B,0.5,5,13,14,15,0.05,0.07,0.1,252.4,Q
y048_0_48_1,y048,1,,,0,3,9,10,0.4,0.49,0.39,87.1,Q
y048_0_48_10,y048,10,,,0,4,9,11,0.42,0.49,0.39,89.8,Q
y048_0_48_11,y048,11,,,0,1,3,9,,0.66,0.62,41.2,Q
y048_0_48_12,y048,12,,,0,3,9,10,0.55,0.48,0.4,77.5,Q
y048_0_48_3,y048,3,,,0,4,8,10,0.48,0.52,0.42,86.5,Q
y048_0_48_4,y048,4,,,0,0,4,8,,0.78,0.63,57.3,Q
y048_0_48_5,y048,5,,,0,3,6,10,0.56,0.45,0.46,79.9,Q
y048_0_48_6,y048,6,,,0,0,3,10,,0.93,0.66,49,Q
y048_0_48_8,y048,8,,,0,2,8,10,0.83,0.65,0.48,64.9,Q
y048_0_48_9,y048,9,,,0,0,1,10,,,0.7,32,Q
y048_5_48_12_1_A,y048,1,A,0.12,5,0,2,10,,0.75,0.7,34.1,Q
y048_5_48_12_1_B,y048,1,B,0.12,5,1,10,12,,0.7,0.5,54.6,Q
y048_5_48_12_10_A,y048,10,A,0.12,5,10,15,22,0.25,0.34,0.39,91.2,Q
y048_5_48_12_10_B,y048,10,B,0.12,5,0,10,11,,0.77,0.54,126.9,Q
y048_5_48_12_11_A,y048,11,A,0.12,5,0,0,12,,,0.7,25.3,Q
y048_5_48_12_11_B,y048,11,B,0.12,5,0,4,11,,0.71,0.64,30.7,Q
y048_5_48_12_12_A,y048,12,A,0.12,5,0,0,11,,,0.76,34.4,Q
y048_5_48_12_2_A,y048,2,A,0.12,5,0,4,10,,0.76,0.61,49.2,Q
y048_5_48_12_2_B,y048,2,B,0.12,5,3,10,11,0.89,0.58,0.44,98.1,Q
y048_5_48_12_3_A,y048,3,A,0.12,5,0,0,9,,,0.77,29.8,Q
y048_5_48_12_4_A,y048,4,A,0.12,5,0,10,12,,0.76,0.53,65.3,Q
y048_5_48_12_4_B,y048,4,B,0.12,5,0,10,12,,0.81,0.53,62.4,Q
y048_5_48_12_5_A,y048,5,A,0.12,5,0,10,14,,0.73,0.6,47.6,Q
y048_5_48_12_5_B,y048,5,B,0.12,5,0,10,11,,0.83,0.6,41.4,Q
y048_5_48_12_6_A,y048,6,A,0.12,5,0,8,10,,0.83,0.54,126.4,Q
y048_5_48_12_7_A,y048,7,A,0.12,5,0,0,9,,,0.85,99.3,Q
y048_5_48_12_7_B,y048,7,B,0.12,5,0,7,11,,0.67,0.54,90.6,Q
y048_5_48_12_8_A,y048,8,A,0.12,5,0,0,11,,,0.64,64.5,Q
y048_5_48_12_8_B,y048,8,B,0.12,5,0,10,12,,0.8,0.54,84.2,Q
y048_5_48_12_9_A,y048,9,A,0.12,5,0,0,11,,,0.76,23,Q
y048_5_48_12_9_B,y048,9,B,0.12,5,0,10,12,,0.81,0.56,40.7,Q
y048_5_48_48_1_A,y048,1,A,0.5,5,0,7,10,,0.88,0.61,65,Q
y048_5_48_48_1_B,y048,1,B,0.5,5,0,1,11,,,0.72,41.3,Q
y048_5_48_48_10_A,y048,10,A,0.5,5,0,2,11,,1,0.69,55.3,Q
y048_5_48_48_10_B,y048,10,B,0.5,5,0,10,12,,0.79,0.55,67.3,Q
y048_5_48_48_11_A,y048,11,A,0.5,5,0,1,11,,,0.7,41.9,Q
y048_5_48_48_11_B,y048,11,B,0.5,5,0,9,11,,0.87,0.62,78.4,Q
y048_5_48_48_12_A,y048,12,A,0.5,5,0,4,11,,0.73,0.61,65.6,Q
y048_5_48_48_12_B,y048,12,B,0.5,5,0,10,11,,0.69,0.5,110.5,Q
y048_5_48_48_2_A,y048,2,A,0.5,5,0,9,11,,0.8,0.54,92.4,Q
y048_5_48_48_2_B,y048,2,B,0.5,5,0,4,11,,0.77,0.61,41.9,Q
y048_5_48_48_3_A,y048,3,A,0.5,5,0,9,11,,0.75,0.5,145.5,Q
y048_5_48_48_4_A,y048,4,A,0.5,5,0,10,11,,0.67,0.49,49.3,Q
y048_5_48_48_4_B,y048,4,B,0.5,5,0,6,12,,0.9,0.62,39.8,Q
y048_5_48_48_5_A,y048,5,A,0.5,5,0,0,1,,,,33.7,Q
y048_5_48_48_5_B,y048,5,B,0.5,5,1,9,11,,0.77,0.52,62.6,Q
y048_5_48_48_6_A,y048,6,A,0.5,5,0,9,11,,0.87,0.57,123.9,Q
y048_5_48_48_6_B,y048,6,B,0.5,5,0,1,10,,,0.72,33.7,Q
y048_5_48_48_7_A,y048,7,A,0.5,5,0,10,11,,0.73,0.53,144.2,Q
y048_5_48_48_7_B,y048,7,B,0.5,5,0,4,11,,0.92,0.64,48,Q
y048_5_48_48_8_A,y048,8,A,0.5,5,3,9,11,0.75,0.6,0.44,87,Q
y048_5_48_48_8_B,y048,8,B,0.5,5,1,6,11,,0.64,0.53,74.5,Q
y048_5_48_48_9_A,y048,9,A,0.5,5,0,6,12,,0.73,0.57,83.7,Q
y048_5_48_48_9_B,y048,9,B,0.5,5,0,2,12,,0.82,0.68,38.3,Q
y079_0_48_1,y079,1,,,0,9,10,10,0.06,0.1,0.1,223.2,Q
y079_0_48_10,y079,10,,,0,8,9,10,0.05,0.08,0.14,253.3,Q
y079_0_48_11,y079,11,,,0,8,9,10,0.05,0.08,0.15,186.5,Q
y079_0_48_2,y079,2,,,0,9,9,10,0.07,0.07,0.12,246.6,Q
y079_0_48_3,y079,3,,,0,8,9,10,0.05,0.09,0.16,274.6,Q
y079_0_48_4,y079,4,,,0,8,9,9,0.05,0.08,0.08,201.1,Q
y079_0_48_5,y079,5,,,0,9,9,11,0.07,0.07,0.19,298.1,Q
y079_0_48_7,y079,7,,,0,9,10,10,0.06,0.08,0.08,200.8,Q
y079_0_48_8,y079,8,,,0,9,10,10,0.06,0.08,0.08,213.7,Q
y079_0_48_9,y079,9,,,0,9,9,10,0.06,0.05,0.09,210.7,Q
y079_5_48_12_1_A,y079,1,A,0.12,5,5,7,8,0.21,0.22,0.26,126,Q
y079_5_48_12_1_B,y079,1,B,0.12,5,7,8,10,0.07,0.1,0.22,121.4,Q
y079_5_48_12_10_A,y079,10,A,0.12,5,7,7,9,0.11,0.1,0.22,137.3,Q
y079_5_48_12_10_B,y079,10,B,0.12,5,7,7,8,0.16,0.14,0.15,134.5,Q
y079_5_48_12_11_A,y079,11,A,0.12,5,4,9,17,0.79,0.49,0.58,55.6,Q
y079_5_48_12_11_B,y079,11,B,0.12,5,3,9,10,0.6,0.47,0.38,75.6,Q
y079_5_48_12_12_A,y079,12,A,0.12,5,6,8,9,0.2,0.2,0.2,163.8,Q
y079_5_48_12_12_B,y079,12,B,0.12,5,6,8,9,0.12,0.19,0.18,149.6,Q
y079_5_48_12_2_A,y079,2,A,0.12,5,7,8,9,0.05,0.07,0.14,206.9,Q
y079_5_48_12_2_B,y079,2,B,0.12,5,8,8,9,0.07,0.06,0.11,198.6,Q
y079_5_48_12_3_A,y079,3,A,0.12,5,9,10,10,0.15,0.14,0.13,149,Q
y079_5_48_12_3_B,y079,3,B,0.12,5,9,10,11,0.19,0.14,0.17,121.7,Q
y079_5_48_12_4_A,y079,4,A,0.12,5,9,10,12,0.37,0.23,0.27,75.3,Q
y079_5_48_12_4_B,y079,4,B,0.12,5,11,12,13,0.27,0.17,0.17,121.6,Q
y079_5_48_12_5_A,y079,5,A,0.12,5,7,9,11,0.44,0.31,0.34,81.5,Q
y079_5_48_12_5_B,y079,5,B,0.12,5,7,10,11,0.17,0.21,0.21,81.9,Q
y079_5_48_12_6_A,y079,6,A,0.12,5,7,8,10,0.08,0.09,0.21,119.1,Q
y079_5_48_12_6_B,y079,6,B,0.12,5,7,8,9,0.03,0.06,0.13,116.1,Q
y079_5_48_12_7_A,y079,7,A,0.12,5,9,10,11,0.1,0.12,0.17,216.5,Q
y079_5_48_12_7_B,y079,7,B,0.12,5,9,10,11,0.05,0.07,0.12,175.2,Q
y079_5_48_12_8_A,y079,8,A,0.12,5,9,10,17,0.05,0.08,0.36,53.1,Q
y079_5_48_12_8_B,y079,8,B,0.12,5,9,10,11,0.08,0.1,0.14,97.8,Q
y079_5_48_12_9_A,y079,9,A,0.12,5,7,9,10,0.21,0.21,0.21,128.6,Q
y079_5_48_12_9_B,y079,9,B,0.12,5,7,10,11,0.11,0.19,0.22,136.5,Q
y079_5_48_48_1_A,y079,1,A,0.5,5,7,8,9,0.14,0.16,0.15,174.4,Q
y079_5_48_48_1_B,y079,1,B,0.5,5,8,10,11,0.08,0.16,0.18,126.1,Q
y079_5_48_48_10_A,y079,10,A,0.5,5,6,9,10,0.24,0.27,0.23,135.4,Q
y079_5_48_48_10_B,y079,10,B,0.5,5,7,10,12,0.19,0.24,0.25,134.8,Q
y079_5_48_48_11_A,y079,11,A,0.5,5,7,10,11,0.1,0.18,0.19,140.6,Q
y079_5_48_48_11_B,y079,11,B,0.5,5,8,9,11,0.14,0.13,0.19,154.9,Q
y079_5_48_48_12_A,y079,12,A,0.5,5,6,8,9,0.16,0.2,0.2,129,Q
y079_5_48_48_12_B,y079,12,B,0.5,5,8,10,12,0.11,0.2,0.23,108.2,Q
y079_5_48_48_2_A,y079,2,A,0.5,5,6,8,9,0.28,0.26,0.24,133.2,Q
y079_5_48_48_2_B,y079,2,B,0.5,5,7,10,11,0.14,0.2,0.21,130.1,Q
y079_5_48_48_3_A,y079,3,A,0.5,5,5,7,8,0.22,0.29,0.26,124.8,Q
y079_5_48_48_4_A,y079,4,A,0.5,5,4,7,9,0.4,0.39,0.35,103.8,Q
y079_5_48_48_4_B,y079,4,B,0.5,5,4,6,8,0.43,0.37,0.36,109,Q
y079_5_48_48_5_A,y079,5,A,0.5,5,6,8,9,0.12,0.21,0.21,121.9,Q
y079_5_48_48_5_B,y079,5,B,0.5,5,7,9,11,0.14,0.22,0.25,95.1,Q
y079_5_48_48_6_A,y079,6,A,0.5,5,7,11,12,0.05,0.24,0.23,67.2,Q
y079_5_48_48_6_B,y079,6,B,0.5,5,9,12,14,0.1,0.18,0.24,25.7,Q
y079_5_48_48_7_A,y079,7,A,0.5,5,5,8,9,0.31,0.34,0.31,119.3,Q
y079_5_48_48_7_B,y079,7,B,0.5,5,5,8,9,0.22,0.29,0.24,121.1,Q
y079_5_48_48_8_A,y079,8,A,0.5,5,3,7,10,0.57,0.52,0.46,59,Q
y079_5_48_48_8_B,y079,8,B,0.5,5,5,9,11,0.31,0.38,0.33,71.3,Q
y079_5_48_48_9_B,y079,9,B,0.5,5,6,8,10,0.44,0.3,0.31,101.4,Q
y074_0_48_1,y074,1,,,0,10,11,12,0.47,0.3,0.21,194.4,Q
y074_0_48_10,y074,10,,,0,7,12,13,0.28,0.28,0.27,166.1,Q
y074_0_48_11,y074,11,,,0,6,11,13,0.22,0.36,0.3,140.7,Q
y074_0_48_12,y074,12,,,0,8,12,13,0.13,0.21,0.2,182,Q
y074_0_48_2,y074,2,,,0,4,10,11,0.47,0.46,0.33,141.2,Q
y074_0_48_3,y074,3,,,0,7,12,13,0.29,0.26,0.24,208.6,Q
y074_0_48_4,y074,4,,,0,5,10,11,0.27,0.42,0.34,137.6,Q
y074_0_48_5,y074,5,,,0,9,13,14,0.14,0.22,0.21,159.7,Q
y074_0_48_6,y074,6,,,0,7,11,13,0.1,0.29,0.27,136.4,Q
y074_0_48_7,y074,7,,,0,7,11,12,0.5,0.38,0.26,208.2,Q
y074_0_48_8,y074,8,,,0,5,11,13,0.41,0.45,0.33,135.2,Q
y074_0_48_9,y074,9,,,0,7,11,12,0.25,0.29,0.22,196,Q
y074_5_48_12_1_A,y074,1,A,0.12,5,9,11,12,0.18,0.19,0.16,210,Q
y074_5_48_12_1_B,y074,1,B,0.12,5,12,13,14,0.16,0.12,0.14,196.5,Q
y074_5_48_12_10_A,y074,10,A,0.12,5,3,10,12,0.61,0.61,0.45,63.9,Q
y074_5_48_12_10_B,y074,10,B,0.12,5,4,11,13,0.48,0.51,0.4,75.2,Q
y074_5_48_12_11_A,y074,11,A,0.12,5,8,12,14,0.25,0.29,0.27,146.8,Q
y074_5_48_12_11_B,y074,11,B,0.12,5,9,13,14,0.17,0.2,0.19,193.5,Q
y074_5_48_12_12_A,y074,12,A,0.12,5,9,12,13,0.43,0.27,0.21,198.6,Q
y074_5_48_12_12_B,y074,12,B,0.12,5,9,12,13,0.11,0.19,0.17,185.3,Q
y074_5_48_12_2_A,y074,2,A,0.12,5,9,12,13,0.22,0.2,0.19,219.1,Q
y074_5_48_12_2_B,y074,2,B,0.12,5,12,13,14,0.21,0.15,0.14,189.9,Q
y074_5_48_12_3_A,y074,3,A,0.12,5,7,12,13,0.37,0.3,0.27,194.2,Q
y074_5_48_12_3_B,y074,3,B,0.12,5,11,13,14,0.18,0.14,0.17,169.9,Q
y074_5_48_12_4_A,y074,4,A,0.12,5,4,12,13,0.55,0.49,0.38,95.4,Q
y074_5_48_12_4_B,y074,4,B,0.12,5,12,13,14,0.4,0.24,0.2,187.6,Q
y074_5_48_12_5_A,y074,5,A,0.12,5,11,13,15,0.41,0.24,0.23,134.4,Q
y074_5_48_12_5_B,y074,5,B,0.12,5,12,14,15,0.31,0.16,0.17,155,Q
y074_5_48_12_6_A,y074,6,A,0.12,5,6,11,13,0.16,0.36,0.32,113.2,Q
y074_5_48_12_6_B,y074,6,B,0.12,5,6,12,13,0.28,0.32,0.29,122.9,Q
y074_5_48_12_7_A,y074,7,A,0.12,5,4,12,13,0.56,0.41,0.36,56.1,Q
y074_5_48_12_7_B,y074,7,B,0.12,5,7,13,14,0.43,0.31,0.25,171.2,Q
y074_5_48_12_8_A,y074,8,A,0.12,5,8,12,14,0.51,0.34,0.26,165.9,Q
y074_5_48_12_8_B,y074,8,B,0.12,5,12,15,16,0.38,0.21,0.21,129.3,Q
y074_5_48_12_9_A,y074,9,A,0.12,5,8,13,15,0.25,0.29,0.25,121.4,Q
y074_5_48_12_9_B,y074,9,B,0.12,5,10,14,16,0.23,0.24,0.24,117,Q
y074_5_48_48_1_A,y074,1,A,0.5,5,9,12,13,0.26,0.22,0.19,194,Q
y074_5_48_48_1_B,y074,1,B,0.5,5,9,13,14,0.1,0.21,0.2,142.8,Q
